,keltner,engulf
506,Signal.BUY,Signal.SELL
507,Signal.BUY,Signal.WAIT
508,Signal.BUY,Signal.SELL
509,Signal.BUY,Signal.WAIT
510,Signal.BUY,Signal.BUY
511,Signal.BUY,Signal.WAIT
512,Signal.WAIT,Signal.BUY
513,Signal.WAIT,Signal.WAIT
514,Signal.WAIT,Signal.WAIT
515,Signal.WAIT,Signal.WAIT
516,Signal.BUY,Signal.SELL
517,Signal.BUY,Signal.WAIT
518,Signal.BUY,Signal.WAIT
519,Signal.BUY,Signal.WAIT
520,Signal.BUY,Signal.BUY
521,Signal.BUY,Signal.WAIT
522,Signal.BUY,Signal.SELL
523,Signal.BUY,Signal.WAIT
524,Signal.BUY,Signal.WAIT
525,Signal.BUY,Signal.WAIT
526,Signal.BUY,Signal.WAIT
527,Signal.BUY,Signal.WAIT
528,Signal.BUY,Signal.BUY
529,Signal.BUY,Signal.SELL
530,Signal.BUY,Signal.WAIT
531,Signal.BUY,Signal.WAIT
532,Signal.BUY,Signal.WAIT
533,Signal.BUY,Signal.WAIT
534,Signal.BUY,Signal.WAIT
535,Signal.BUY,Signal.WAIT
536,Signal.BUY,Signal.WAIT
537,Signal.BUY,Signal.WAIT
538,Signal.BUY,Signal.BUY
539,Signal.BUY,Signal.WAIT
540,Signal.SELL,Signal.WAIT
541,Signal.SELL,Signal.WAIT
542,Signal.SELL,Signal.WAIT
543,Signal.SELL,Signal.WAIT
544,Signal.SELL,Signal.WAIT
545,Signal.SELL,Signal.WAIT
546,Signal.SELL,Signal.BUY
547,Signal.SELL,Signal.WAIT
548,Signal.SELL,Signal.SELL
549,Signal.SELL,Signal.WAIT
550,Signal.WAIT,Signal.WAIT
551,Signal.WAIT,Signal.WAIT
552,Signal.WAIT,Signal.WAIT
553,Signal.SELL,Signal.BUY
554,Signal.WAIT,Signal.WAIT
555,Signal.SELL,Signal.WAIT
556,Signal.SELL,Signal.BUY
557,Signal.SELL,Signal.WAIT
558,Signal.SELL,Signal.WAIT
559,Signal.WAIT,Signal.SELL
560,Signal.WAIT,Signal.WAIT
561,Signal.WAIT,Signal.WAIT
562,Signal.WAIT,Signal.BUY
563,Signal.WAIT,Signal.WAIT
564,Signal.WAIT,Signal.WAIT
565,Signal.BUY,Signal.SELL
566,Signal.BUY,Signal.WAIT
567,Signal.BUY,Signal.SELL
568,Signal.BUY,Signal.WAIT
569,Signal.BUY,Signal.WAIT
570,Signal.BUY,Signal.WAIT
571,Signal.BUY,Signal.SELL
572,Signal.BUY,Signal.WAIT
573,Signal.BUY,Signal.BUY
574,Signal.BUY,Signal.WAIT
575,Signal.BUY,Signal.SELL
576,Signal.BUY,Signal.WAIT
577,Signal.BUY,Signal.WAIT
578,Signal.BUY,Signal.WAIT
579,Signal.BUY,Signal.BUY
580,Signal.BUY,Signal.WAIT
581,Signal.BUY,Signal.WAIT
582,Signal.BUY,Signal.WAIT
583,Signal.BUY,Signal.WAIT
584,Signal.BUY,Signal.WAIT
585,Signal.BUY,Signal.WAIT
586,Signal.BUY,Signal.WAIT
587,Signal.BUY,Signal.WAIT
588,Signal.BUY,Signal.WAIT
589,Signal.BUY,Signal.WAIT
590,Signal.BUY,Signal.SELL
591,Signal.BUY,Signal.WAIT
592,Signal.BUY,Signal.WAIT
593,Signal.BUY,Signal.WAIT
594,Signal.BUY,Signal.WAIT
595,Signal.BUY,Signal.WAIT
596,Signal.BUY,Signal.WAIT
597,Signal.BUY,Signal.BUY
598,Signal.BUY,Signal.WAIT
599,Signal.BUY,Signal.WAIT
600,Signal.BUY,Signal.BUY
601,Signal.BUY,Signal.WAIT
602,Signal.BUY,Signal.WAIT
603,Signal.BUY,Signal.WAIT
604,Signal.BUY,Signal.WAIT
605,Signal.WAIT,Signal.BUY
606,Signal.WAIT,Signal.WAIT
607,Signal.BUY,Signal.SELL
608,Signal.BUY,Signal.WAIT
609,Signal.BUY,Signal.WAIT
610,Signal.BUY,Signal.WAIT
611,Signal.BUY,Signal.WAIT
612,Signal.BUY,Signal.WAIT
613,Signal.BUY,Signal.BUY
614,Signal.BUY,Signal.WAIT
615,Signal.BUY,Signal.WAIT
616,Signal.BUY,Signal.SELL
617,Signal.BUY,Signal.WAIT
618,Signal.WAIT,Signal.BUY
619,Signal.BUY,Signal.WAIT
620,Signal.WAIT,Signal.WAIT
621,Signal.WAIT,Signal.WAIT
622,Signal.WAIT,Signal.BUY
623,Signal.WAIT,Signal.WAIT
624,Signal.WAIT,Signal.WAIT
625,Signal.WAIT,Signal.WAIT
626,Signal.WAIT,Signal.WAIT
627,Signal.WAIT,Signal.WAIT
628,Signal.WAIT,Signal.WAIT
629,Signal.WAIT,Signal.WAIT
630,Signal.WAIT,Signal.WAIT
631,Signal.BUY,Signal.SELL
632,Signal.BUY,Signal.WAIT
633,Signal.BUY,Signal.WAIT
634,Signal.BUY,Signal.WAIT
635,Signal.BUY,Signal.BUY
636,Signal.BUY,Signal.WAIT
637,Signal.BUY,Signal.SELL
638,Signal.BUY,Signal.WAIT
639,Signal.BUY,Signal.WAIT
640,Signal.BUY,Signal.WAIT
641,Signal.BUY,Signal.WAIT
642,Signal.BUY,Signal.WAIT
643,Signal.BUY,Signal.WAIT
644,Signal.BUY,Signal.WAIT
645,Signal.BUY,Signal.WAIT
646,Signal.WAIT,Signal.WAIT
647,Signal.WAIT,Signal.WAIT
648,Signal.WAIT,Signal.WAIT
649,Signal.WAIT,Signal.WAIT
650,Signal.SELL,Signal.BUY
651,Signal.SELL,Signal.WAIT
652,Signal.SELL,Signal.WAIT
653,Signal.SELL,Signal.WAIT
654,Signal.SELL,Signal.WAIT
655,Signal.SELL,Signal.BUY
656,Signal.SELL,Signal.WAIT
657,Signal.SELL,Signal.SELL
658,Signal.SELL,Signal.WAIT
659,Signal.SELL,Signal.WAIT
660,Signal.WAIT,Signal.SELL
661,Signal.WAIT,Signal.WAIT
662,Signal.SELL,Signal.BUY
663,Signal.SELL,Signal.WAIT
664,Signal.WAIT,Signal.SELL
665,Signal.WAIT,Signal.WAIT
666,Signal.WAIT,Signal.WAIT
667,Signal.WAIT,Signal.BUY
668,Signal.WAIT,Signal.WAIT
669,Signal.WAIT,Signal.WAIT
670,Signal.WAIT,Signal.BUY
671,Signal.WAIT,Signal.WAIT
672,Signal.WAIT,Signal.WAIT
673,Signal.WAIT,Signal.WAIT
674,Signal.BUY,Signal.WAIT
675,Signal.WAIT,Signal.WAIT
676,Signal.WAIT,Signal.WAIT
677,Signal.BUY,Signal.SELL
678,Signal.WAIT,Signal.BUY
679,Signal.WAIT,Signal.WAIT
680,Signal.SELL,Signal.BUY
681,Signal.SELL,Signal.WAIT
682,Signal.SELL,Signal.WAIT
683,Signal.SELL,Signal.WAIT
684,Signal.SELL,Signal.WAIT
685,Signal.SELL,Signal.BUY
686,Signal.SELL,Signal.WAIT
